state,abrev,drg08,alc08,drg16,alc16,alc_change,drg_change,legality
Alabama,AL,4.66321243523316,21.8816067653277,6.00461893764434,15.0884495317378,-6.7931572335899,1.34140650241118,no
Alaska,AK,5.76923076923077,22.0125786163522,7.37704918032787,24.4755244755245,2.4629458591723,1.6078184110971,legal
Arizona,AZ,3.38461538461538,23.598820058997,6.35245901639344,15.5310621242485,-8.0677579347485,2.96784363177806,no
Colorado,CO,5.37363560033585,19.5850622406639,7.95631825273011,13.8781804163454,-5.7068818243185,2.58268265239426,legal
Connecticut,CT,10.1190476190476,31.3953488372093,0,27.6595744680851,-3.7357743691242,-10.1190476190476,legal
Florida,FL,22.8737453777073,13.9873510810413,9.98212918049528,14.2962598425197,0.308908761478399,-12.891616197212,no
Idaho,ID,3.75,25.9375,15.0159744408946,19.8757763975155,-6.0617236024845,11.2659744408946,no
Illinois,IL,11.3207547169811,21.3235294117647,7.03399765533412,16,-5.3235294117647,-4.28675706164698,no
Indiana,IN,1.59474671669794,9.87525987525988,11.413612565445,13.6504653567735,3.77520548151362,9.81886584874706,no
Kansas,KS,15.0684931506849,30.0411522633745,7.72058823529412,13.3699633699634,-16.6711888934111,-7.34790491539078,no
Louisiana,KY,13.1419939577039,30.9579439252336,19.1588785046729,21.4525139664804,-9.5054299587532,6.016884546969,no
Maryland,MD,2.79542566709022,15.7829839704069,3.27272727272727,11.8243243243243,-3.9586596460826,0.47730160563705,legal
Michigan,MI,5.53227158424141,19.1911181601903,6.24580255204836,13.758389261745,-5.4327288984453,0.713530967806951,legal
Minnesota,MN,2.55102040816327,19.496855345912,5.2060737527115,13.8228941684665,-5.6739611774455,2.65505334454823,legal
Montana,MT,0,31.8706697459584,19.9288256227758,35.7377049180328,3.8670351720744,19.9288256227758,no
Nebraska,NE,1.63934426229508,20.746887966805,8.87096774193548,21.9512195121951,1.2043315453901,7.2316234796404,legal
Nevada,NV,14.2857142857143,26.3982102908277,20.8920187793427,21.889400921659,-4.5088093691687,6.6063044936284,legal
New Jersey,NJ,13.9784946236559,39.0663390663391,15.6208277703605,17.5324675324675,-21.5338715338716,1.6423331467046,no
New Mexico,NM,0.573065902578797,18.1456953642384,2.8391167192429,21.7391304347826,3.5934350705442,2.2660508166641,no
North Carolina,NC,1.68697282099344,15.1844843897824,2.69865067466267,17.1222279525529,1.9377435627705,1.01167785366923,legal
Ohio,OH,6.171875,20.9770114942529,8.94409937888199,16.2732919254658,-4.7037195687871,2.77222437888199,legal
Oregon,OR,4.6831955922865,18.8888888888889,5.93220338983051,12.007874015748,-6.8810148731409,1.24900779754401,legal
Pennsylvania,PA,7.35376044568245,24.9194414607948,9.81549815498155,17.1626297577855,-7.7568117030093,2.4617377092991,no
Rhode Island,RI,14.7058823529412,32.0987654320988,24.3243243243243,40,7.9012345679012,9.6184419713831,legal
South Dakota,SD,7.19424460431655,30.9090909090909,5.74712643678161,34.5864661654135,3.6773752563226,-1.44711816753494,no
Tennessee,TN,10.1966496722505,18.1245626312106,13.3910386965377,10.993444276349,-7.1311183548616,3.1943890242872,no
Utah,UT,2.62725779967159,5.41871921182266,6.81114551083591,12.7329192546584,7.31420004283574,4.18388771116432,no
Vermont,VT,8.75,21.2121212121212,19.2660550458716,24.7706422018349,3.5585209897137,10.5160550458716,legal
Virginia,VA,2.85326086956522,30.9546769527483,4.2483660130719,16.4705882352941,-14.4840887174542,1.39510514350668,no
West Virginia,WV,6.77618069815195,28.33607907743,7.5,16.1073825503356,-12.2286965270944,0.72381930184805,no
Wyoming,WY,4.82456140350877,25.8181818181818,15.4929577464789,18.0555555555556,-7.7626262626262,10.6683963429701,no
